ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;DFN6692 Толстовка женская Серый(40);Свитшот женский среднего объема из пластичного футера со слегка спущенным плечом, комфортным объемом рукава, манжетами из основной ткани и стойким эластичным принтом с элементами глянца в шрифте. Перевод Делай это с любовью, а не ради любви. Свободный ум. Перевод с японского Наша любовь в наших сердцах.Состав: 65%полиэстер 35%хлопокВозрастная группа: StandardСезон: ОсеньКоллекция: WOW!;489.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16194288503.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16194288521.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16194288542.jpg;"L;M;S;XS;XXS"
;DFN6692 Толстовка женская Черный(49);Свитшот женский среднего объема из пластичного футера со слегка спущенным плечом, комфортным объемом рукава, манжетами из основной ткани и стойким эластичным принтом с элементами глянца в шрифте. Перевод Делай это с любовью, а не ради любви. Свободный ум. Перевод с японского Наша любовь в наших сердцах.Состав: 65%полиэстер 35%хлопокВозрастная группа: StandardСезон: ОсеньКоллекция: WOW!;489.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16194288563.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16194288581.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16194288592.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16194288624.jpg;"L;M;S;XL;XS;XXS"
;LUHA6194(2) Трусы женские Малиновый/серый(25/40);Женские трусики-шортики. Низкая посадка. В комплекте 2 изделия. Кружевная вставка по бокам и краям изделия на спинке. Эластик по талии, декор в виде 2-х атласных бантиков.Состав: 93%хлопок 7%эластан, вставка: 90%полиамид 10%эластанВозрастная группа: StandardСезон: ОсеньКоллекция: ЖЕНСКОЕ БЕЛЬЕ;352.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196071733.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196071751.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196071772.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196071794.jpg;"S;XS"
;LUHA6217(2) Трусы женские Малиновый/белый(25/2);Женские трусики-шортики. Низкая посадка. В упаковке 2 изделия. По талии широкий эластик.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: ВеснаКоллекция: ЖЕНСКОЕ БЕЛЬЕ;274.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196071873.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196071881.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196071902.jpg;"XS"
;LULA6194(2) Трусы женские Малиновый/серый(25/40);Женские трусики-слипы. Низкая посадка. В комплекте 2 изделия. Кружевная вставка по бокам и краям изделия на спинке. Эластик по талии, декор в виде 2-х атласных бантиков.Состав: 93%хлопок 7%эластан, вставка: 90%полиамид 10%эластанВозрастная группа: StandardСезон: ОсеньКоллекция: ЖЕНСКОЕ БЕЛЬЕ;352.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196073953.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196073971.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196073992.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074014.jpg;"M;S;XS"
;LULA6217(2) Трусы женские Малиновый/белый(25/2);Женские трусики-слипы. Низкая посадка. В упаковке 2 изделия. По талии широкий эластик, обработка эластиком по ноге.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: ВеснаКоллекция: ЖЕНСКОЕ БЕЛЬЕ;274.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196074093.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074101.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074122.jpg;"XS"
;LUNA6194(2) Трусы женские Малиновый/серый(25/40);Женские трусики-танга. Низкая посадка. В комплекте 2 изделия. Кружевная вставка по бокам и на спинке изделия. Эластик по талии, декор в виде 2-х атласных бантиков.Состав: 93%хлопок 7%эластан, вставка: 90%полиамид 10%эластанВозрастная группа: StandardСезон: ОсеньКоллекция: ЖЕНСКОЕ БЕЛЬЕ;313.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196074503.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074521.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074532.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074554.jpg;"S;XS"
;LUNA6229(2) Трусы женские Пудра/малиновый(35/25);Женские трусики-танга. Низкая посадка. В упаковке 2 изделия. По талии широкий эластик. Обработка по ноге строчкой 2-needle.Состав: 93%хлопок 7%эластанВозрастная группа: StandardСезон: ВеснаКоллекция: ЖЕНСКОЕ БЕЛЬЕ;274.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196074573.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074591.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074612.jpg;"XS"
;LUSA6194(2) Трусы женские Малиновый/серый(25/40);Женские трусики-стринги. Низкая посадка. В комплекте 2 изделия. Кружевная вставка по бокам и на спинке изделия. Эластик по талии, декор в виде 2-х атласных бантиков.Состав: 93%хлопок 7%эластан, вставка: 90%полиамид 10%эластанВозрастная группа: StandardСезон: ОсеньКоллекция: ЖЕНСКОЕ БЕЛЬЕ;313.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196074633.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074641.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074672.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196074684.jpg;"L;M;S;XS"
;DZWL6809 Куртка женская Черный(49);Куртка женская. Новинка. Объемная, прямая и укороченная куртка. Рекомендуемый температурный режим не ниже 15°С. Двойная застежка молния и кнопки. Выполнена в эклектичной стилистике. В кулиске капюшона и по низу изделия широкая репсовая лента с крупным шрифтом. Прорезные карманы с листочкой. Курточная ткань с водоотталкивающим покрытием.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: StandardСезон: ВеснаКоллекция: SPICE;1564.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196118953.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196118961.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196118982.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196119004.jpg;"L;M;S;XL;XS"
